id,jurisdiction_type,rechtbank,gerechtshof,appeal,crime_location,verdict_date_year,verdict_date_month,crime_date_month,crime_date_year,age,minor,criminal_organization,drug_type
ECLI-NL-RBMNE-2021-3440,['Strafrecht; Materieel strafrecht'],midden-nederland,amsterdam,1,utrecht,2021,jul,oct,2020,19.0,0,0,hasjiesj
ECLI-NL-RBNNE-2017-4144,['Strafrecht'],noord-nederland,,0,hoogeveen,2017,oct,sep,2016,18.0,0,0,cocaine
ECLI-NL-GHSGR-2012-BY1246,['Strafrecht'],rotterdam,'s-gravenhage,1,spijkenisse,2012,oct,sep,2012,,0,0,cocaine
ECLI-NL-RBNNE-2022-2415,['Strafrecht'],noord-nederland,vervolging,1,lemmer,2022,jul,may,2018,19.0,0,0,amfetamines/metamfetamines
ECLI-NL-RBDHA-2022-6299,['Strafrecht'],den haag,,0,alphen,2022,jun,apr,2022,,0,0,cocaine
ECLI-NL-RBDHA-2022-6299,['Strafrecht'],den haag,,0,alphen,2022,jun,apr,2022,,0,0,heroine
ECLI-NL-RBAMS-2022-1364,['Strafrecht'],amsterdam,,0,amsterdam,2022,mar,nov,2021,21.0,0,0,amfetamines/metamfetamines
ECLI-NL-RBZWB-2022-6753,['Strafrecht'],zeeland-west-brabant,,0,middelburg,2022,nov,jan,2022,17.0,1,0,mdma
ECLI-NL-RBZWB-2022-6753,['Strafrecht'],zeeland-west-brabant,,0,middelburg,2022,nov,jan,2022,17.0,1,0,xtc
ECLI-NL-RBZWB-2022-6753,['Strafrecht'],zeeland-west-brabant,,0,middelburg,2022,nov,jan,2022,17.0,1,0,hennep
ECLI-NL-RBZWB-2022-6753,['Strafrecht'],zeeland-west-brabant,,0,middelburg,2022,nov,jan,2022,17.0,1,0,hasjiesj
ECLI-NL-RBZWB-2022-6753,['Strafrecht'],zeeland-west-brabant,,0,middelburg,2022,nov,jan,2022,17.0,1,0,amfetamines/metamfetamines
ECLI-NL-RBDHA-2021-12995,['Strafrecht'],den haag,,0,zoetermeer,2021,nov,jul,2020,22.0,0,0,mdma
ECLI-NL-RBDHA-2021-12995,['Strafrecht'],den haag,,0,zoetermeer,2021,nov,jul,2020,22.0,0,0,xtc
ECLI-NL-RBDHA-2021-12995,['Strafrecht'],den haag,,0,zoetermeer,2021,nov,jul,2020,22.0,0,0,hennep
ECLI-NL-RBDHA-2021-12995,['Strafrecht'],den haag,,0,zoetermeer,2021,nov,jul,2020,22.0,0,0,hasjiesj
ECLI-NL-RBDHA-2021-12995,['Strafrecht'],den haag,,0,zoetermeer,2021,nov,jul,2020,22.0,0,0,heroine
ECLI-NL-RBDHA-2021-12995,['Strafrecht'],den haag,,0,zoetermeer,2021,nov,jul,2020,22.0,0,0,cocaine
ECLI-NL-RBGEL-2014-4328,['Strafrecht'],gelderland,,0,ermelo,2014,jul,feb,2013,,0,0,amfetamines/metamfetamines
ECLI-NL-RBNNE-2015-6414,['Strafrecht'],noord-nederland,,0,leeuwarden,2015,dec,jan,2015,,0,0,cocaine
ECLI-NL-RBDHA-2019-13399,['Strafrecht'],den haag,den haag,1,den haag,2019,dec,may,2019,18.0,0,0,cocaine
ECLI-NL-RBDHA-2019-13399,['Strafrecht'],den haag,den haag,1,den haag,2019,dec,may,2019,18.0,0,0,amfetamines/metamfetamines
ECLI-NL-RBNHO-2013-9066,['Strafrecht'],noord-holland,,0,purmerend,2013,jul,jun,2013,,0,1,amfetamines/metamfetamines
ECLI-NL-RBLIM-2014-2800,['Strafrecht'],limburg,,0,venlo,2014,mar,aug,2012,,0,0,hennep
ECLI-NL-RBLIM-2019-11665,['Strafrecht'],limburg,,0,rotterdam,2019,dec,nov,2017,20.0,0,0,cocaine
